City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
465,Henties Bay,NA,-22.116,14.2845,59.86,73,77,6.67,broken clouds
466,Goderich,CA,43.7501,-81.7165,40.91,91,100,18.81,overcast clouds
467,Togur,RU,58.3631,82.8265,23.99,97,100,5.86,overcast clouds
468,Sakakah,SA,29.9697,40.2064,67.93,24,100,23.94,overcast clouds
469,Sokoni,TZ,-6.4333,39.55,80.98,75,78,13.87,broken clouds
470,Sola,VU,-13.8833,167.55,81.36,76,98,12.95,overcast clouds
471,Hasaki,JP,35.7333,140.8333,48.6,58,80,7.78,broken clouds
472,Sanger,US,36.708,-119.556,72.99,100,90,0.0,fog
473,Poya,NC,-21.35,165.15,77.47,83,88,4.12,overcast clouds
474,Mangaratiba,BR,-22.9597,-44.0406,78.03,72,35,8.55,scattered clouds
475,Japura,ID,-0.3167,102.35,75.6,92,80,1.74,broken clouds
476,Stepnogorsk,KZ,52.3544,71.8869,28.65,96,99,9.73,light snow
477,Lumphat,KH,13.4878,106.9816,72.12,91,100,3.04,overcast clouds
478,Arlit,NE,18.7369,7.3853,93.24,9,90,6.08,overcast clouds
479,Vardo,NO,70.3705,31.1107,24.55,58,97,11.56,light snow
480,Saint Anthony,US,45.0205,-93.218,32.67,76,75,4.0,broken clouds
481,Nechi,CO,8.0942,-74.7757,86.92,61,58,3.24,broken clouds
482,Te Anau,NZ,-45.4167,167.7167,44.08,93,89,2.89,light rain
483,Nadym,RU,65.5333,72.5167,-1.48,98,22,6.26,few clouds
484,Korla,CN,41.7597,86.1469,35.49,41,0,3.09,clear sky
485,Thinadhoo,MV,0.5333,72.9333,82.15,77,98,12.03,overcast clouds
486,Manga,BF,11.6636,-1.0731,97.5,15,1,4.72,clear sky
487,Quang Ngai,VN,15.1167,108.8,72.19,98,100,4.07,overcast clouds
